name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	39	1760078804517647	1760078804517647	3497039	3497039	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	40	1760078804517711	1760078804517711	3497102	3497102	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	42	1760078804518995	1760078804518995	3498387	3498387	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	43	1760078804519777	1760078804519777	3499169	3499169	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	44	1760078804521525	1760078804521525	3500917	3500917	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	45	1760078804522294	1760078804522294	3501686	3501686	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	48	1760078804524514	1760078804524514	3503906	3503906	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	49	1760078804524593	1760078804524593	3503984	3503984	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	50	1760078804525381	1760078804525381	3504773	3504773	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	51	1760078804525463	1760078804525463	3504855	3504855	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	53	1760078804526102	1760078804526102	3505494	3505494	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	54	1760078804526353	1760078804526353	3505744	3505744	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	57	1760078804582388	1760078804582388	3561780	3561780	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	58	1760078804582432	1760078804582432	3561824	3561824	0	comm	1	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	60	1760078804583617	1760078804583617	3563009	3563009	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	62	1760078804585851	1760078804585851	3565243	3565243	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	63	1760078804585910	1760078804585910	3565302	3565302	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	65	1760078804587144	1760078804587144	3566536	3566536	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	66	1760078804587918	1760078804587918	3567310	3567310	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	67	1760078804589650	1760078804589650	3569041	3569041	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	68	1760078804590402	1760078804590402	3569793	3569793	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	71	1760078804592517	1760078804592517	3571908	3571908	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	72	1760078804592597	1760078804592597	3571989	3571989	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	73	1760078804593368	1760078804593368	3572760	3572760	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	74	1760078804593448	1760078804593448	3572840	3572840	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	76	1760078804594091	1760078804594091	3573483	3573483	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	77	1760078804594335	1760078804594335	3573727	3573727	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	80	1760078804651446	1760078804651446	3630838	3630838	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	81	1760078804651494	1760078804651494	3630886	3630886	0	comm	1	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	83	1760078804652532	1760078804652532	3631924	3631924	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	85	1760078804654866	1760078804654866	3634258	3634258	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	86	1760078804654929	1760078804654929	3634321	3634321	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	88	1760078804656176	1760078804656176	3635568	3635568	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	89	1760078804656926	1760078804656926	3636318	3636318	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	90	1760078804658647	1760078804658647	3638039	3638039	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	91	1760078804659428	1760078804659428	3638819	3638819	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	94	1760078804661553	1760078804661553	3640945	3640945	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	95	1760078804661633	1760078804661633	3641025	3641025	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	96	1760078804662390	1760078804662390	3641782	3641782	0	comm	[1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	97	1760078804662466	1760078804662466	3641858	3641858	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	99	1760078804663097	1760078804663097	3642489	3642489	0	comm	[4, 512, 2048]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	100	1760078804663355	1760078804663355	3642747	3642747	0	comm	[4, 512, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	103	1760078804720706	1760078804720706	3700098	3700098	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	104	1760078804720744	1760078804720744	3700136	3700136	0	comm	1	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	106	1760078804722227	1760078804722227	3701619	3701619	0	comm	[1, 2048, 2048]	torch.bfloat16
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	108	1760078804725066	1760078804725066	3704458	3704458	0	comm	1	torch.float32
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	109	1760078804725145	1760078804725145	3704537	3704537	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	111	1760078804726739	1760078804726739	3706130	3706130	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	112	1760078804727751	1760078804727751	3707143	3707143	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	113	1760078804730005	1760078804730005	3709397	3709397	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	114	1760078804730988	1760078804730988	3710380	3710380	0	comm	[1, 2048, 512]	torch.bfloat16
